"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","category"
"54","a3b5379f16ef2b1298266a14d53e76ce",557,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"55","9ce8981db8530b907730724c89a79c4c",549,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"56","9af9e1974f8e6f5151c3077d20fdb4ef",435,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"57","ea4ebde341d0ccc8f064bd044840d482",436,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"58","7e56e77c30a0a6a62439104e61ea3501",561,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"59","06d35fbd6a1517b2cf32b5f7184fa9ea",439,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"60","5d176babc69cbf81f4df5d532a5f2ea3",560,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"61","9a1b816c164bc7f5354989d1a458809b",553,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"62","6dde3e60561ff3b111ce81ff433897f5",561,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"63","8afd0ab2a13a9fae68199d7c5286ce95",560,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"64","1c2b6b40b5371a5adc590891cc1b34ba",439,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"65","e8ca47b59fc58878e57f7faa70e9c8f8",441,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"66","2bca4bb12ff784ad8a602ac62aea4f6c",441,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"67","fbf8102ba2171aa45d9ec6d36897cda5",440,"male","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"68","8ecb8a0222992d08842d54d23fdb3a1e",440,"female","GMC late adult (53 weeks)","HMGULA_001","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"69","0bf24ee0670e6abb227940063bf7aa3b",561,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"70","9e3c53928da35a305c92e34924a36548",559,"male","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
"71","eedc77a12a07afdec0902d6b35da8099",540,"female","GMC late adult (70 weeks)","HMGULA_002","Tissue Embedding and Block Banking","HMGULA_BLK_001","HMGULA_BLK","Eye 2 with optic nerve (within skull)","HMGULA_BLK_012_001","Not Block banked"
