"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point","discrete_point","time_point"
"727","a9d72f2d337f46551542f37ff4443c6e",490,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5788.2,10,"2019-12-03T00:00:00Z"
"728","4fba727f5c56b552356367f814c20b26",491,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5941.6,5,"2020-07-15T00:00:00Z"
"729","8fe4b079a78f43678f05b3d02921d99c",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4291.7,10,"2019-09-24T00:00:00Z"
"730","7952f75eb0e41516cbc03a1ad1a3a77f",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3776.2,10,"2020-12-14T00:00:00Z"
"731","78461e18d721088fbcb6943d33eee826",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4514.4,20,"2021-01-25T00:00:00Z"
"732","9ec1ac57fdb46a69d970e048b7e78e5d",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4442.2,15,"2019-12-02T00:00:00Z"
"733","489937405c1ae5213d4e302901be37b4",487,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6079.5,5,"2019-10-29T00:00:00Z"
"734","35ceb8232e4c0e52725085bcf076e446",491,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6772.9,10,"2020-07-15T00:00:00Z"
"735","43c825e9eb602bcfd9084b0e431b3ac7",371,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5796.2,15,"2019-05-13T00:00:00Z"
"736","c279fc419cd7118af2aa0538d077fa99",487,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3045,5,"2021-01-25T00:00:00Z"
"737","9af9e1974f8e6f5151c3077d20fdb4ef",365,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6599,15,"2018-12-18T00:00:00Z"
"738","2bca4bb12ff784ad8a602ac62aea4f6c",372,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5003.8,20,"2019-05-14T00:00:00Z"
"739","873645bbc2c6b29de47dd1a1f56f3c99",371,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4420.6,10,"2018-12-18T00:00:00Z"
"740","afda009b31dde550c5d22f8098cd80e9",372,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3652.6,15,"2019-05-14T00:00:00Z"
"741","fdf4fc0d44cee37c26dbfb189af93c5d",370,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5832.5,10,"2018-12-17T00:00:00Z"
"742","e081c1ee9a1f4e9013743902daba70ed",365,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4148.9,5,"2018-12-18T00:00:00Z"
"743","50f696ff1f6f30b3b71097267716b37f",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4660.2,15,"2019-09-24T00:00:00Z"
"744","dea916d0fb0ffe4264c14af29467dbe5",490,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",2982.8,20,"2019-10-28T00:00:00Z"
"745","7d04036abc8311597cde99860196a8bc",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5054.4,20,"2021-01-26T00:00:00Z"
"746","b0848cea87ab6f6010a5b3b8828842fe",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4438.6,5,"2019-09-23T00:00:00Z"
"747","695f176b837d29b2473937c09ab220b9",484,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5251.7,20,"2021-08-03T00:00:00Z"
"748","199f35764f242960621dd25cf2dd47d8",490,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4834.5,5,"2020-04-15T00:00:00Z"
"749","e682416e819fe8bcfa46b8605e6f04c6",490,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3721.1,15,"2020-09-07T00:00:00Z"
"750","dfce9ac17d91cc0800cbc81f2dc4590b",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5114,15,"2021-08-03T00:00:00Z"
"751","1f3f6a93f021a93c8951c4b39fdc200b",485,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4687.1,15,"2020-04-14T00:00:00Z"
"752","0738a76d0f546186eb0e0eceb64e441d",490,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4103,5,"2020-07-14T00:00:00Z"
"753","829c97af766741c32c2a48ee62652532",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4350.4,10,"2021-01-25T00:00:00Z"
"754","2a3597d91820cc0577b9c26207e74ab4",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3967.3,20,"2019-09-23T00:00:00Z"
"755","ffebd2f2393262c246dd9c1f8b99e19c",486,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",2583.6,20,"2020-07-14T00:00:00Z"
"756","35edc46c3ac4ee86b8299d93efb75c9b",372,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4321.2,20,"2019-05-14T00:00:00Z"
"757","0a833c0d7a50e2519e818c96d9771a49",370,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",2637.1,5,"2018-12-17T00:00:00Z"
"758","292ceb330e18d16435b695d0436ca29f",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5309.2,5,"2020-08-25T00:00:00Z"
"759","785baf0dd1c66446969dd9070bbf1ad3",490,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",7412.8,20,"2019-12-03T00:00:00Z"
"760","f8ce3c4fd1d5a7c62df22da651fa80be",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4003.5,10,"2019-09-24T00:00:00Z"
"761","2a3597d91820cc0577b9c26207e74ab4",488,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3137.4,15,"2019-09-23T00:00:00Z"
"762","9ec1ac57fdb46a69d970e048b7e78e5d",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4025,10,"2019-12-02T00:00:00Z"
"763","eda64487f646f8f8efacb55af826f56c",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6672.3,5,"2019-09-24T00:00:00Z"
"764","695f176b837d29b2473937c09ab220b9",484,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4966,5,"2021-08-03T00:00:00Z"
"765","c41aad3ff12d64c038b36239edf1dea5",489,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4611.8,20,"2019-10-29T00:00:00Z"
"766","08964716ba5647ecb5ac13c2c5c3ac92",482,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6847.1,20,"2020-04-28T00:00:00Z"
"767","9ec1ac57fdb46a69d970e048b7e78e5d",489,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4059.3,20,"2019-12-02T00:00:00Z"
"768","2bca4bb12ff784ad8a602ac62aea4f6c",372,"female","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",7024.5,5,"2019-05-14T00:00:00Z"
